Words	raw	percent	mean_valence	sd_valence	mean_degree	sd_degree	comment_1	comment_2	comment_3	comment_4	comment_5	comment_6	comment_7	comment_8	comment_9	comment_10	comment_11	comment_12	comment_13	comment_14	comment_15	comment_16	comment_17	comment_18	comment_19	comment_20	comment_21	comment_22
Abhängigkeit von Robotern	14	3.08	-1.1428571428571428	0.864437821507566	1.2142857142857142	0.578934223521839	Menschen suchen keinen menschlichen Kontakt mehr sondern verlassen sich nur auf die Roboter (ähnlich wie bei Online Foren heute und früher soziales Zusammenkommen in Präsenz)																					
Abhängigkeit von Technologie	4	0.88	-1.5	0.577350269189626	1	0																						
Abhängigkeit von Trainingsdaten	2	0.44	-1	0	1	0	Strukturelle Benachteiligung möglich bei KI-gestützter Erkennung von Vermissten/Verletzten																					
Abhängigkeit zu Energieversorgung	2	0.44	-1	0	1	0																						
Abhnahme Menschliche Interaktionen	2	0.44	-2	0	3.5	0.707106781186548	Durch vermehrten Einsatz von Robotern könnten die menschlichen Interaktionen abnehmen																					
Ablehnung der Technologie	2	0.44	-2	0	1	0	Besonders ältere Menschen lehnen neuere Technologien ab.	"Besonders Ältere Menschen lehnen Technologie ab
"																				
Ablösung von  Natur	2	0.44	-3	0	3.5	0.707106781186548																						
Abnahme sozialer Kompetenzen	1	0.22	-3	NA	1	NA	"Durch sehr realistisch wirkende Roboter könnten sich Benutzer auf diese anstatt auf andere Menschen konzentrieren und so ""echte"" soziale Kompetenzen verlieren"																					
Abnahme von Gänsten	1	0.22	3	NA	1	NA																						
abschreckende Erscheinung	1	0.22	-2	NA	1	NA	ein Roboter könnte angsteinflößend wirken																					
Abwägung der Roboterart	1	0.22	0	NA	1	NA	Manche Roboterarten könnten in bestimmten Umgebungen aufgrund ihrer Bauart anfällig für Beschädigungen sein. Ihr Einsatz muss daher bestmöglich auf ihre Umgebung abgestimmt werden.																					
Abwälzung eines Grundbedürfnisses	2	0.44	-3	0	1	0	Es ist traurig, dass in der heutigen Welt zu wenig Zeit vorhanden ist, um soziale Interaktion auszuleben.																					
achtung	2	0.44	-1	0	1	0																						
achtung vor KI	2	0.44	-3	0	1	0																						
Adaptierbar	5	1.1	2.2	0.836660026534076	1	0	Anpassbar für verschiedene Zweck, z.B. Sanitäter-Roboter	wegen SiliconKörper																				
AI / KI	2	0.44	-3	0	2	0																						
AI ausnutzen	2	0.44	1	0	1	0																						
AI gesteuert	2	0.44	-2	1.4142135623731	2	0																						
AI statt Menschen	2	0.44	2	0	2	0	einige riskante Tätigkeiten sollten besser von der Technik übernommen eerden. Für manche est wäre Ambivalent aber nicht für mich																					
AI zur Inspektion	2	0.44	2	0	1	0	"künstliche Intelligenz kann zur Inspektion von beschädigten Strukturen genutzt werden
"																					
Akku/Baterie	4	0.88	-1	1.15470053837925	2	1.15470053837925																						
Akkubetrieb	2	0.44	-2	0	1	0																						
Akkulaufzeit	2	0.44	-1	0	1	0																						
Aktivierung	2	0.44	3	0	1	0	"willkommene Ablenkung für Seniorenheimbewohner
"																					
Aktuell noch ferngesteuert	1	0.22	-3	NA	1	NA																						
Akzeptanz	8	1.76	-1	1.30930734141595	1.875	0.83452296039628	nicht alle Menschen sind KI und Maschinen offen gegenüber, andere haben diese Fortschritte schon voll akzeptiert.	Viele Menschen hätten vermutlich SChwierigkeiten Roboter zu akzeptieren	Abhängig vom Patienten oder dem med. Personal können Roboter abgelehnt werden (aus diversen Gründen).	Akzeptanz für softe Roboter höher, denke ich																		
Akzeptanz bei Beobachtern	1	0.22	-1	NA	1	NA	"Sollten softe Roboter wie Spielzeug erscheinen, könnte Sie als Hilfmittel weniger ernstgenommen werde.
"																					
Akzeptanz der Behandelten	2	0.44	-1.5	0.707106781186548	1	0	Viele behandelte Personen trauen Robotern vielleicht nicht und nehmen diese nicht an.																					
Akzeptanz von Hilfe	2	0.44	2	0	3	0	Es gibt Menschen, denen es sehr schwerfällt, die Selbständigkeit aufzugeben, die sie durch Krankheit, Behinderung oder Alter verlieren. Diese Personen würden sich möglicherweise lieber durch künstliche Assistenten unterstützen lassen.																					
alarm	2	0.44	1	0	1	0																						
Algorithmen	13	2.86	-0.8461538461538461	0.898717034272917	2.3076923076923075	1.49357598761135																						
Algorithmen die diskriminieren	2	0.44	-3	0	1	0																						
Algorithmen entscheiden leben	2	0.44	-3	0	2	0																						
Algorithmen fehlerhaft	2	0.44	-2	0	1	0	Algorithmen könnten fehlerhaft sein und ein Mensch nicht als solchen erkennen.																					
Algorithmenvoreingenommenheit	2	0.44	-3	0	1	0	Unfaaire Entscheidungen durch Algorithmen																					
allgemein	3	0.66	0	0	3.6666666666666665	1.52752523165195																						
Allgorythmusentscheidung	2	0.44	-1	0	2	0																						
Alltagshelfer	4	0.88	2.5	0.577350269189626	2.5	0.577350269189626	Begleitung bei Schwierigkeiten im Alltag																					
Altenpflege	6	1.32	0.3333333333333333	0.516397779494322	3.8333333333333335	2.48327740429189																						
Ältere	2	0.44	3	0	2.5	2.12132034355964																						
Alternative bei Allergien	1	0.22	2	NA	1	NA	eine Art Haustier für Menschen, welche Allergien haben, oder sich aus anderen Gründen nicht um echte Lebewesen kümmern können																					
Alternative zu echt	1	0.22	2	NA	2	NA	Wenn echte Menschen eventuell zu viel Überforderung bei Autisten erzeugen.																					
anderweitig gefährlich	2	0.44	0	0	1	0																						
anfällig für Fehler	2	0.44	-1	0	1	0																						
Anfällig gegenüber Schäden	1	0.22	-1	NA	2	NA																						
Anfälligkeit für Defekte	2	0.44	-2	0	1	0	auch Hacker-Angriffe																					
Anfälligkeit gegenüber Hackern	2	0.44	-3	0	1	0	Auch Rettungsroboter können für andere Dienste missbraucht werden.																					
Angehmeneres Gefühl	1	0.22	2	NA	1	NA	Soft Materialien sind angehmer als harte																					
angepasste Programmierung	2	0.44	3	0	1	0	Man kann sich selber aussuchen wie der Roboter sein soll																					
Angst durch Fremdheit	1	0.22	-2	NA	1	NA	"Vor allem alte Menschen könnten von dem Konzept ""Roboter"" verwirrt sein"																					
Angst ersetzt zuwerden	2	0.44	-1	0	1	0	für bisherige Mitarbeiter																					
Angst nehmend	2	0.44	3	0	2	0																						
Angst vor Maschine	4	0.88	-2	1.4142135623731	1.5	0.577350269189626	bei Betroffenen																					
Angst vor Robotern	2	0.44	-1	0	1	0	manche Menschen fühlen sich verängstlicht von Robotern und würden sich von ihm nicht helfen lassen																					
Angst vor Technik	2	0.44	-3	0	1	0																						
Ängste	2	0.44	3	0	2	0																						
Angstgefühle	2	0.44	-2	0	1	0	gerade ältere Menschen / Demenzpatienten könnten Angst vor Maschinen haben																					
anpassbar an Gefahrensituationen	2	0.44	3	0	1	0	z.B. thermisch,physikalische Bedingungen																					
Anpassbar zur Rettungssituation	1	0.22	1	NA	3	NA																						
Anpassbarkeit an Bedürfnisse	1	0.22	1	NA	2	NA	Nutzung von Softrobotern ermöglicht ein angepasstes Aussehen, dass die Beziehung verbessert																					
Anpassung	1	0.22	2	NA	1	NA	durch weichen Körper																					
Anpassung an Patient/Klient	2	0.44	3	0	1	0	z.B. durch Biograhpiearbeit/ AI																					
Anpassung der Ausbildung	2	0.44	0	0	4	0	Mitarbeiter müssen im Umgang mit Robotern geschult werden.																					
Anpassungsfähigkeit	8	1.76	1.875	1.24642345475822	1.25	0.462910049886276																						
Anschaffung	4	0.88	-1	2.3094010767585	1.5	0.577350269189626																						
Anschaffung & Instandhaltung	2	0.44	-1	0	1	0	Hochpreisig, aufwändig																					
Anwendbarkeit	2	0.44	0	0	4	0	Bisher sind Rettungsroboter für einzelne Fähigkeiten gut ausgerüstet, aber komplexere Aufgaben oder mehrere Aufgaben fallen nochj schwer																					
Anwendungsbereiche	2	0.44	0	0	6	0																						
Anzahl	2	0.44	2	0	1	0	Mit genug Ressourcen können viele Roboter eingesetzt werden, wobei Menschen begrenzt sind																					
arbeit	2	0.44	3	0	3	0																						
arbeiten automatisch	2	0.44	0	0	5	0																						
Arbeiten ohne Pause	2	0.44	3	0	1	0	Roboter werden nicht müde.																					
Arbeitsentlastung	4	0.88	2.5	0.577350269189626	1.5	0.577350269189626	Krankenschwestern zb. könnten entlastet werden, dadurch, dass die Roboter die Werte selbstständig überprüfen und weitergeben																					
Arbeitserleichterung	6	1.32	1.6666666666666667	0.516397779494322	1.3333333333333333	0.516397779494322	erleichterung für menschen das diese die aufgaben des roboter nicht machen müssen. und mehr zeit für andere/wichtigere dinge haben.																					
Arbeitserleichterung für viele	2	0.44	3	0	1	0																						
Arbeitskräfte	4	0.88	1.5	1.73205080756888	3.25	0.957427107756338	"Roboter können helfen, falls Arbeitskräfte fehlen, allerdings können sie vielleicht diese auch wegnehmen.
"																					
Arbeitskräftemangel	2	0.44	2	0	2	0	Menschen die Hilfe brauchen werden besser versorgt (wie z.B. in der Altenpflege)																					
Arbeitslose Pädagogen	2	0.44	-3	0	1	0																						
Arbeitslosenanstieg	1	0.22	-2	NA	1	NA	durch Ersetzung als z.B Therapeut*innen																					
Arbeitslosigkeit	24	5.29	-1.8333333333333333	1.00722031037067	1.5	0.780189497605494	In manchen Bereichen führt dies vielleicht dazu, dass Menschen ihren Job verlieren oder ihre Arbeitssituation sich verschlechtert.	Bertifft Menschen , die durch Roboter ersetrzt werden	"Roboter könnten Menschen ersetzen
"	evtl werden noch mehr Pflegekräfte abgebaut	Die Abhängigkeit von der Technologie könnte zum Verlust von Arbeitsplätzen führen. Aber wenndie Regierungen Alternativen anbieten, wäre das kein Problem.	kann zur Arbeitslosigkeit führen																
Arbeitslosigkeit von Sozialkräften	2	0.44	-3	0	2	0																						
Arbeitsmarkt	2	0.44	1	0	4	0																						
Arbeitsplatz Ausbau Fachkräfte	2	0.44	3	0	1	0	schlecht Bezahlte und unbeliebte Jobs in der Pflege werden durch gutbezahlte Jobs in der Produktion und Instandhaltung der Roboter geschaffen																					
Arbeitsplätze	10	2.2	-0.7	0.483045891539648	1.9	1.19721899973786	Arbeitsplätze von Rettungspersonal in Gefahr	Übernehemen arbeitsplätze von menschen	evtl. Verlust durch Arbeitsplätze, wenn Menschen durch Roboter ersetzt werden	Verlust von Arbeitsplätzen an die Roboter	während bisherige Arbeitsplätze ggf. entfallen (durch Ersetzung durch Roboter), entstehen gleichzeitig neue (durch Wartung, Programmierung usw.)																	
Arbeitsplätze im Roboterbau	2	0.44	0	0	3	0																						
Arbeitsplätze werden gefährdet	2	0.44	-3	0	1	0																						
Arbeitsplatzverlust	28	6.17	-2.142857142857143	0.848278680373802	1.25	0.440958551844098	Ersatz menschlicher Arbeitskräfte wodurch Jobs verloren gehen	Mehr Roboter könnten zu weniger Stellen in den betroffenen Sektoren führen																				
Arbeitsumgebungen optimieren	2	0.44	2	0	1	0	Notizen erstellen, Informationen präsentieren																					
Art der Daten?	2	0.44	0	0	1	0	Welche Patientendaten werden preisgegeben?																					
Art des Roboters	2	0.44	-0.5	0.707106781186548	2	1.4142135623731	Softroboter könnten beispielsweise beim Einsatz kaputt gehen, da sie nur mit weichem Material gebaut worden sind.																					
Art von Dronen	2	0.44	0	0	2	0	Das es in ein Art von Dronen funktionieren könnte wobei ein Mensch pilotiert der Roboter. 																					
Arzt-Ängstliche Personen	2	0.44	2	0	1	0	Personen, die normal nie zum Arzt gehen werden integriert																					
Ärzte verlieren Jobs	2	0.44	-2	0	1	0	Durch die Benutzung von Rettungsrobotern werden Ärzte auf Lang oder Kurz vielleicht ihre Jobs verlieren.																					
Ästhetik über Funktionalität	1	0.22	-1	NA	1	NA																						
Auch Luftrettung möglich	1	0.22	3	NA	1	NA	Die Roboter, Drohnen, sind nicht an den Boden gebunden und können auch in der Luft arbeiten.																					
Auf Bedürfnisse eingehen	2	0.44	3	0	2	0																						
Auffassungsgabe	2	0.44	3	0	2	0	"Kann geschehnisse eher Speichern wie ein ""Menschlicher Zeuge"" z.B. bei unfällen."																					
Auffinden Opfer	2	0.44	3	0	1	0																						
auffinden, nicht bergen	2	0.44	-2	0	1	0	sie können Personen zwar aufspüren, ihnen fehlt aber die Feinmotorik zum eigentlichen Bergen der Personen																					
Aufgaben zu komplex	2	0.44	1	0	1	0																						
Auflagen und Überprüfung	2	0.44	-2	0	1	0	welche Auflagen? wie werden diese überprüft?																					
aufmerksamer	2	0.44	3	0	2	0																						
Aufsicht Datenschutz	2	0.44	-3	0	1	0																						
augen fatig	2	0.44	-2	0	3	0																						
Augen und Ohren	2	0.44	2	0	1	0	für die Rettungskräfte aus sicherer Distanz																					
Ausbildungsunterstützung	2	0.44	2	0	1	0	kann vor allem als Unterstützung genutzt werden.																					
Auschluss menschliche Autonomie	2	0.44	-1	0	1	0																						
Auschluss menschliches Versagen	2	0.44	1	0	1	0																						
Ausdauer	4	0.88	2.5	0.577350269189626	1	0	sie können länger arbeiten und sind winger anfällig																					
Ausfall der Roboter	2	0.44	-3	0	2	0	Roboter können defekt sein. Im Fehlerfall kann eine Reparatur komplex sein und lange dauern.																					
Ausfall Geräte	2	0.44	-1	0	1	0	Wenn Geräte kaputt gehen oder Störungen haben, kann sich das auf den Einsatz der Roboter negativ auswirken																					
Ausfall Von Robotern	2	0.44	-3	0	1	0																						
Ausfallquote	2	0.44	-2	0	1	0	Was passiert wenn ein Roboter ausfällt?																					
ausgerüsteter	2	0.44	3	0	2	0																						
Ausgleich durch Therapeut	1	0.22	1	NA	1	NA																						
Ausgleich von Fachkräftemangel	2	0.44	2	0	1	0	Bei den Problemen genug Personal in diesen Bereichen zu finden könnte es helfen.																					
Ausgleich von Mangel	2	0.44	3	0	2	0	"Immer weniger Menschen sind bereit, in Pflegeberufen zu arbeiten, und auch in manchen Bereichen der Therapie herrscht Arbeitskräftemangel. Bedingt durch zunehmende Lebensdauer und auch durch die Anforderungen der ""modernen Welt"" benötigen aber immer mehr Menschen Unterstützung und Therapie."																					
Ausgleich von Missständen	2	0.44	2	0	1	0	tatsächlich fehlende Interaktion könnte teilweise ausgeglichen werden																					
Ausnutzen	2	0.44	-3	0	1	0	Roboter können für die falschen Zwecke missbraucht werden																					
Ausprobieren möglich	2	0.44	2	0	2	0																						
Ausschluss besserer Lösungen	1	0.22	-1	NA	1	NA	Ehrlicherweise wirkt der beispielhafte Roboter Paro wie ein teureres Haustier. Man könnte je nach Settings auch Katzen oder andere Tiere aus dem Tierheim als emotionalen Support nutzen.																					
Ausschluss vulnerabler Gruppen	2	0.44	-3	0	1	0	Insbesondere Menschen mit Behinderung verdienen die Teilnahme an der Gesellschaft. Roboter könnten dazu führen, dass diese Menschen mehr aus dem tatsächlichen gesellschaftlichen Kontext entfernt werden																					
Aussehen	2	0.44	1	0	1.5	0.707106781186548																						
Auswertung	2	0.44	2.5	0.707106781186548	1	0	Verhalten von Robotern kann beobachtet und anschließend verändert werden																					
Auswirkung menschliche Kommunikation	2	0.44	0	0	2	0	Die Interaktion mit Robotern könnte Einfluss auf die Mensch-zu-Mensch Kommunikation nehmen																					
Autark	2	0.44	2	0	2	0																						
Autismus	2	0.44	0	0	1	0																						
Automatische Weiterentwicklung	2	0.44	1	0	1	0																						
Automatisiertes Handeln	2	0.44	0	0	6	0	Roboter handeln automatisiert und können deshalb effizienter Handeln																					
Automatisierung	3	0.66	1	1.73205080756888	1.6666666666666667	0.577350269189626																						
Autonom + Manuell	1	0.22	3	NA	1	NA																						
Autonom vs. gesteuert	2	0.44	-3	0	1	0	In manchen Situationen können eine Fernsteuerung mehr Menschen Leben retten, da Maschinen bekanntlich nicht immer fehlerfrei funktionieren.																					
Autonom/Autonomie	30	6.61	-0.26666666666666666	1.20153158964696	2.466666666666667	1.27936765989898	wenig erprobt aber kann ggf. Menschen besser aufspüren	Autonom arbeitende Roboter sorgen zwar für eine Erleichterung der Arbeit der menschlichen Fachkräfte, auf der anderen Seite können sie dadurch diskriminierende Suchen durchführen, ohne dabei überwacht zu werden.	Autonome Rettungsroboter könnten sich schneller an ungewöhnliche Umstände anpassen, aber könnten auch anfälliger für Fehlentscheidungen oder Bias sein	Autonomie als Widerspruch zu Rettungszielen	Menschenleben retten ohne dabei andere Menschenleben aufs Spiel zu setzen. Autonomie kann auch für Krieg misbraucht werden.	teilweise ferngesteuert																
Autonome Bergung	4	0.88	2	1.15470053837925	1	0	Selbstständige Opferrettung																					
Autonome Entscheidungen	2	0.44	0	0	3	0	Roboter entscheidet über Leben und Tod. Trifft eventuell logischere Entscheidungen wenn er nicht von Emotionen und Vorurteilen gelenkt wird wie es Menschen tun.																					
Autonome Möglichkeiten	2	0.44	2	0	1	0																						
Autonome Rettungsfähigkeiten	4	0.88	3	0	1	0																						
Autonome Unterstützung	2	0.44	3	0	1	0																						
autonomes Handeln	6	1.32	1.3333333333333333	1.36626010212795	2.8333333333333335	1.60208197875972	Roboter können handeln, ohne, dass jemand dabei sein muss 																					
Autonomie und Flexibilität	2	0.44	2	0	2	0																						
Autonomiebedenken	2	0.44	-2	0	1	0	Überlegung, ob Menschen die Roboter steuern sollten oder ob die Roboter selbstständig handeln sollen																					
Autopilot	2	0.44	0	0	3.5	0.707106781186548	Roboter werden mit Algorithmen angetrieben																					
Barrierefreiheit	5	1.1	1.8	0.447213595499958	1.4	0.547722557505166	Sie können die Bereiche erreichen, die nicht zugänglich für Menschen sind																					
Batterieleben	2	0.44	-2	0	1	0	Könnten inmitten der Rettung nicht mehr funktionieren																					
Batterielebensdauer	2	0.44	0	0	2	0																						
battery ausfall/kaputt	2	0.44	-3	0	1	0																						
Bauweise	1	0.22	1	NA	1	NA																						
Bedienung	4	0.88	-1.5	0.577350269189626	1	0	Wer programmiert datenschutzkonform	ältere Menschen könnten Probleme mit der Bedienung der Roboter haben	vorallem ältere Menschen könnten Probleme mit der Bedienung haben																			
Bedienung evtl. schwierig	1	0.22	0	NA	1	NA	Ältere Menschen könnten mit der Technik überfordert sein.																					
bedingunslose emotionale Begleitung	2	0.44	1	0	1	0																						
Bedürftige Kinder	2	0.44	2	0	2.5	2.12132034355964	Besonders bei speziellen Lernschwierigkeiten oder Behinderungen.																					
Beeinflussing des Entscheidungsvermögens	1	0.22	-2	NA	2	NA																						
Beeinflusst menschliche Interaktionen	2	0.44	-2	0	3	1.4142135623731																						
Beeinflussung	2	0.44	-2	0	1.5	0.707106781186548	Umgang mit Robotern kann sozialkompetenzen beeinträchtigen																					
Beeinflussung der Entscheidungen	1	0.22	-3	NA	2	NA																						
Beeinflussung der Wahrnehmungen	2	0.44	-2	0	2	1.4142135623731																						
Beeinflussung des Arbeitsmarkts	2	0.44	-2	0	1	0																						
Beeinflussung des Verhaltens	1	0.22	-2	NA	4	NA																						
Beeinflussung durch Menschenähnlichkeit	1	0.22	-3	NA	1	NA																						
Beeinflussung Kinder Aufwachsen	2	0.44	0	0	1	0	ähnlich wie bei Corona, dass alle mit Masken rum liefen, ggf schwierig für Kinder mit viel Roboter Kontakt																					
Beeinflussung Menschlicher Emotionen	1	0.22	-3	NA	1	NA	Fähigkeit Emotionen zu erkennen und zu simulieren kann genutzt werden um Menschen zu beeinflussen																					
Beeinflussung menschlicher Interaktionen	2	0.44	-1	0	1	0																						
Begleiter	1	0.22	3	NA	3	NA																						
Begleiter für Behinderten	2	0.44	1	0	1	0	z.B Unterstützung bei alltäglichen Aktivitäten																					
begrenzte Anpassungsfähigkeiten	2	0.44	-1	0	1	0																						
Begrenzte Autonomie	4	0.88	-1	0	1	0																						
begrenzte Beweglichkeit	2	0.44	-1	0	1	0	Roboter sind in ihren Bewegungen eingegrenzt																					
Begrenzte emotionale Intelligenz	1	0.22	-2	NA	1	NA																						
Begrenzte Intuition	2	0.44	-3	0	1	0	Fehlende menschliche Intuition und Empathie																					
begrenzte Kognitivität	2	0.44	-2	0	1	0																						
begrenzte Sicherheit	1	0.22	0	NA	1	NA	gegen hackerangriffe könnten Daten in falsche Hände kommen																					
Begrenzte Spontanität	2	0.44	-2	0	2	0																						
Begrenzte Szenarien	2	0.44	-2	0	1	0																						
Begrenzte Tragfähikeit	1	0.22	-1	NA	1	NA																						
Begrenzter Verkauf	2	0.44	1	0	2	0	Roboter nur unter strengen Auflagen verkaufen und leihen																					
Behandelt alle gleich	2	0.44	3	0	1	0	Diskriminiert niemanden																					
Beherschung der Lage	2	0.44	-1	0	2	0	KI kann wahrscheinlich die Situation nicht so einschätzen wie ein Mensch																					
Behinderung sozialer Kontakte	2	0.44	-2	0	1	0	Hat man einen Roboter, wird man sich wenig um tatsächliche Menschen bemühen																					
Bei Feuer/Hitze schmelzen	1	0.22	-1	NA	1	NA																						
bei sozialer Isolation	2	0.44	2	0	1	0																						
bei speziellen Bedürfnissen	2	0.44	1	0	1	0																						
Beinflussung der Interaktionen	1	0.22	-3	NA	2	NA																						
Bekämpft Einsamkeit	4	0.88	0.5	0.577350269189626	1.5	0.577350269189626																						
Belastbar/Robust/Wiederstandsfähig	12	2.64	1.6666666666666667	1.15470053837925	2.0833333333333335	0.90033663737852																						
Bemerken	4	0.88	0	0	3	1.15470053837925																						
Benötigt Kontrolle	2	0.44	-2	0	3	0																						
Bereitstellung von Hilfsgütern	2	0.44	1	0	2.5	0.707106781186548																						
Bergung und Sicherheit	2	0.44	3	0	2	0																						
Bergung Verletzter	2	0.44	3	0	1.5	0.707106781186548																						
Bergungsarbeit	2	0.44	3	0	3.5	2.12132034355964																						
Berichterstattung	2	0.44	3	0	1	0	über aller Arten von Menschen																					
Berufsverlust	2	0.44	-1	0	2	0																						
Beruhigen der Verletzten	2	0.44	0	0	1	0																						
Beschädigung	4	0.88	-2.5	0.577350269189626	1	0	Aufgrund des weichen Materials	Die Roboter könnten in gefährlichen Situationen beschädigt werden.																				
Beschädigung filigraner Bauteile	1	0.22	-1	NA	1	NA																						
Beschädigung nicht ausschließbar	1	0.22	-1	NA	1	NA	"das weiche Material kann schneller beschädigen und dadurch fehlerhaft werden
"																					
Beschädigung softer Roboter	1	0.22	-2	NA	1	NA																						
Beschädigung von Robotern	1	0.22	-1	NA	2	NA																						
Beschädigungsgefahr	1	0.22	-2	NA	1	NA																						
Beschädigungsrisiko des Roboters	1	0.22	-2	NA	1	NA																						
Beschaffenheit	1	0.22	-1	NA	3	NA																						
Beschränkte autonomie	1	0.22	-3	NA	1	NA																						
Beschränktes Knowhow	2	0.44	-3	0	1.5	0.707106781186548																						
Beschränkung auf Emotionen	1	0.22	-2	NA	1	NA																						
besondere Fähigkeiten	4	0.88	2.5	0.577350269189626	1.75	0.957427107756338	Können im Gegensatz zu menschlichen Rettern fliegen, sich kleinmachen, und besondere Aufgaben vollbringen, wie eine Tür hacken oder mit Kameras Bilder an die Einsatzzentrale senden.	In bestimmten Fällen z.B. eingestürtzen Gebäuden haben Roboter bessere Skills um bestimmte Aufgaben zu lösen																				
Besser informierte Entscheidungen	2	0.44	1	0	2	0																						
Besser Logarithmen	2	0.44	1	0	1	0	Technologie entwickelt sich weiter																					
Besser zu erreichen	1	0.22	1	NA	1	NA																						
Bessere Analyse	2	0.44	0.5	0.707106781186548	2	0	Evtl. können Roboter besser und schneller z.b. Lernprobleme oder Krankheiten analysieren.																					
bessere Erkennung Emotionen	2	0.44	3	0	1	0	Leute die schnell auf Trigger reagieren können vom Roboter besser unterstützt werden, indem der Robot schnell bemerkt was für Emotionen der Mensch gerade hat _-> bessere emotionale Unterstützung																					
bessere Förderung	2	0.44	3	0	1	0	zum Beispiel in schwierigen Fächern wie Naturwissenschaften																					
Bessere Hilfe	2	0.44	3	0	3	0																						
bessere Navigation	2	0.44	2	0	2	0																						
bessere Pflege	4	0.88	3	0	2.5	1.73205080756888																						
Bessere Technologie Entwicklung	2	0.44	3	0	1	0																						
Bessere Unterstützung möglich	2	0.44	2	0	1	0																						
Besserer Zugang	2	0.44	3	0	1	0																						
Besseres CPR	2	0.44	2	0	1	0																						
Besseres Gedächtnis	2	0.44	2	0	1	0	Roboter können sich oft Dinge besser merken als Menschen																					
